@relation 'FeatureSet data'

@attribute class {+,-}
@attribute net.imagej.ops.features.firstorder.FirstOrderFeatures$SumFeature numeric
@attribute net.imagej.ops.features.firstorder.FirstOrderFeatures$MeanFeature numeric
@attribute net.imagej.ops.features.firstorder.FirstOrderFeatures$VarianceFeature numeric

@data
?,826453,167.129019,485.356328
?,750973,151.834412,248.56489
?,1382662,147.483947,285.53908
?,769585,167.337465,446.101404
?,705971,160.084127,279.595779
?,679089,143.874788,197.621318
?,635881,146.314082,224.708464
?,722455,153.289837,214.65197
?,1362796,148.017378,273.805694
?,687076,149.202172,286.307728
?,927380,173.536677,473.153811
?,863510,178.448026,409.613204
?,864553,178.368682,413.04956
?,656423,153.441561,323.165511
?,834696,166.539505,506.055713
?,718141,147.553113,320.760588
?,655399,145.903606,179.098032
?,639966,146.177707,226.091328
?,647746,150.568573,271.623174
?,619026,145.277165,171.746401
?,785122,137.982777,342.512623
?,639929,149.132836,274.42897
?,764277,151.042885,270.552618
?,747402,160.697054,308.016806
?,662854,149.966968,279.273858
?,630760,151.188878,173.620035
?,730289,146.791759,340.554536
?,772150,159.634071,330.337532
?,1390243,147.287107,289.764563
?,759413,151.337784,262.158353
?,707093,142.616579,220.337324
?,1431369,146.087875,319.471812
?,829861,134.739568,446.171852
?,1422053,146.392114,311.063877
?,776010,138.573214,325.637075
?,754973,151.601004,254.890178
?,660052,144.589704,187.922988
?,807241,168.455968,441.467483
?,872210,177.856852,433.594434
?,819022,156.451194,407.795239
?,631302,154.806768,294.64796
?,771283,150.611795,282.97583
?,1536080,161.794818,438.360719
?,790706,158.046372,366.567221
?,741226,158.010232,336.879213
?,712360,159.721973,288.895099
?,686557,161.163615,250.809336
?,673285,152.258028,257.451841
?,563404,150.321238,260.683008
?,811841,156.877488,396.165119
?,737486,158.258798,329.084758
?,1365670,147.943885,275.265973
?,796018,157.752279,374.051605
?,738831,140.890732,261.453059
?,779090,158.641824,353.032377
?,832119,146.268061,428.4705
?,632651,151.098877,175.500971
?,706413,142.65206,219.558776
?,811944,147.733624,379.323754
?,914488,174.38749,439.442422
?,658227,153.325646,325.900919
?,813077,147.644271,382.619347
?,702966,148.398987,301.954374
?,590089,152.79363,218.695292
?,813712,147.598767,384.127444
?,714057,143.356153,224.295218
?,730940,158.417859,254.227264
?,1570920,160.428922,486.748292
?,678608,144.970733,193.711323
?,842010,165.391868,346.428924
?,725547,147.110097,331.649811
?,699185,142.982618,213.458278
?,600865,145.91185,163.602867
?,692388,143.292219,207.762655
?,816371,156.602916,403.86148
?,680539,144.888014,195.179961
?,768202,150.805261,277.301948
?,827691,167.041574,488.413693
?,836667,165.676634,338.212902
?,548977,150.817857,257.337796
