@relation 'FeatureSet data'

@attribute class {+,-}
@attribute net.imagej.ops.features.firstorder.FirstOrderFeatures$SumFeature numeric
@attribute net.imagej.ops.features.firstorder.FirstOrderFeatures$MeanFeature numeric
@attribute net.imagej.ops.features.firstorder.FirstOrderFeatures$VarianceFeature numeric

@data
+,703809,150.258113,313.682029
+,687183,148.740909,307.456347
+,648106,150.547271,185.530351
+,667257,144.584399,262.203484
+,910152,174.861095,417.438619
+,748272,151.77931,256.060436
+,854206,178.853853,407.659055
+,770531,159.464197,344.325772
+,639760,154.233365,312.742248
+,714793,141.964846,241.88613
+,662835,147.690508,308.178987
+,746387,168.56075,419.412392
+,1390908,150.792281,299.57064
+,823774,167.060231,498.235925
+,582482,152.682045,236.612302
+,1484799,160.380104,360.698219
+,788911,157.845338,380.972073
+,688404,143.95734,227.526312
+,631343,143.748406,220.254381
+,729005,158.444903,335.158757
-,654019,131.965093,609.679306
-,1374623,150.199191,857.415132
-,731350,151.355546,785.765922
-,639165,142.416444,595.445212
-,617376,143.409059,498.344481
-,652850,141.309524,595.780771
-,621557,134.681907,649.302783
-,660049,138.027813,426.247082
-,747369,149.533613,727.464449
-,560704,146.973526,506.241302
-,774407,157.048672,1138.201687
-,610112,138.91439,429.935279
-,793744,166.194305,1094.089149
-,605581,145.993491,647.030341
-,715897,161.675023,869.928475
-,681182,148.050859,823.235674
-,1333527,144.571444,590.622674
-,673586,143.805722,682.571686
-,860674,165.355235,1097.61456
-,694870,140.947262,752.682956
